H2000330_1,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,答弁者,その他,松岡文男,議事課長,ただいまから知事のごあいさつがあります。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000330,null
H2000331_1,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,答弁者,知事,荒井正吾,知事,（登壇）　臨時県議会の開会に当たりまして、一言ごあいさつ申し上げます。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000331,null
H2000331_2,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,答弁者,知事,荒井正吾,知事,議員各位におかれましては、去る四月十日に行われました県議会議員選挙の結果、各選挙区において県民の皆様方の多数の信託をお受けになり、当選されました。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000331,null
H2000331_3,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,答弁者,知事,荒井正吾,知事,誠におめでとうございます。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000331,null
H2000331_4,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,答弁者,知事,荒井正吾,知事,ここに改めて、お祝いを申し上げます。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000331,null
H2000331_5,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,答弁者,知事,荒井正吾,知事,このたびの臨時県議会におきましては、正副議長をはじめ、各委員会の正副委員長、委員などの選任が行われることになっております。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000331,null
H2000331_6,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,答弁者,知事,荒井正吾,知事,新しい県議会の体制が整えられ、県政発展の推進力になっていただけますようよろしくお願い申し上げまして、開会のごあいさつといたします。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000331,null
H2000331_7,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,答弁者,知事,荒井正吾,知事,－－－－－－－－－－－－－－－－－－－－－－－－－－－,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000331,null
H2000332_1,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,答弁者,その他,森村佳弘,事務局長,今県議会は一般選挙後最初の議会であり、議長が選挙されますまで、地方自治法第百七条の規定に基づき、年長の川口正志議員に臨時の議長を務めていただくことになります。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000332,null
H2000332_2,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,答弁者,その他,森村佳弘,事務局長,川口正志議員、よろしくお願いします。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000332,null
H2000333_1,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,議長,議長,川口正志,臨時議長,（登壇）　ただいまご紹介をいただきました私が臨時議長の職務を行うこととなりました。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000333,null
H2000333_2,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,議長,議長,川口正志,臨時議長,議長選挙が終わりますまで、議員各位のご協力をお願い申し上げまして、ごあいさつといたします。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000333,null
H2000333_3,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,議長,議長,川口正志,臨時議長,－－－－－－－－－－－－－－－－－－－－－－－－－－－,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000333,null
H2000333_4,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,議長,議長,川口正志,臨時議長,（臨時議長川口正志、議長席に着く）,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000333,null
H2000334_1,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,議長,議長,川口正志,臨時議長,これより平成二十三年五月第三百二回奈良県議会臨時会を開会します。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000334,null
H2000334_2,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,議長,議長,川口正志,臨時議長,－－－－－－－－－－－－－－－－－－－－－－－－－－－,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000334,null
H2000335_1,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,議長,議長,川口正志,臨時議長,本日の会議を開きます。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000335,null
H2000335_2,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,議長,議長,川口正志,臨時議長,－－－－－－－－－－－－－－－－－－－－－－－－－－－,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000335,null
H2000336_1,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,議長,議長,川口正志,臨時議長,初めに、議席の指定を行います。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000336,null
H2000336_2,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,議長,議長,川口正志,臨時議長,議席は、会議規則第四条第一項の規定により、お手元に配布の議席表のとおり指定します。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000336,null
H2000336_3,奈良県,第３０２回,1,23,5,18,臨時,DiscussNetPremium 平成２３年　　５月　臨時会（第３０２回） - 05月18日－01号 ,議長,議長,川口正志,臨時議長,標柱をお立て願います。,,https://www.kaigiroku.net/cgi-bin/WWWdocHatugen.exe?A=docHatugen&RA=frameNittei&USR=narkenk&N=558&H=2000336,null
