別	11
豊	63
祝	6
照	7
か	8565
及	1961
巻	52
ン	2038
促	22
尋	1
返	90
渦	1
交	65
青	6
春	1
挙	55
役	16
逸	1
脱	1
華	1
概	3
揺	5
バ	313
陥	10
ろ	926
直	455
ぶ	101
整	32
脅	15
質	58
織	1
洗	7
膨	5
偲	1
院	1
寝	2
深	156
ネ	449
潰	5
連	7
ぜ	55
赤	1
伸	34
さ	6165
覧	1
当	471
ぷ	1
辛	2
束	1
儀	14
母	1
究	1
楽	14
コ	253
池	2
ゃ	27
絞	10
短	8
除	82
縛	3
あ	9165
洋	3
へ	1131
介	2
制	1
月	33
光	1
馬	2
物	18
力	42
丸	5
入	447
ギ	235
厚	79
募	4
大	427
採	1
酒	1
慨	8
議	2
砕	1
知	41
侵	7
夢	1
医	11
任	7
所	49
礼	69
表	103
速	33
搾	1
ブ	191
込	342
今	15
紛	1
四	6
律	2
写	15
並	389
務	39
メ	235
薄	7
買	28
支	162
横	4
危	20
ザ	59
折	6
与	74
伝	30
命	5
飲	3
霞	8
グ	296
皿	13
遣	7
空	43
結	79
皆	138
挟	5
赴	3
則	2
心	186
枠	32
余	58
作	7
恵	5
幕	1
休	1
幅	44
だ	2010
い	24469
八	1
葉	2
う	5488
ぐ	164
際	15
捨	40
阻	2
吸	1
超	91
寿	1
禁	10
渡	23
色	2
問	56
反	22
種	1
幼	1
満	24
づ	802
響	1
足	12
御	3
兼	3
仰	4
名	4
難	33
ズ	101
ク	860
鑑	18
国	110
塞	2
延	9
創	3
漬	2
紡	1
せ	2309
持	276
保	12
了	1
ぱ	22
亡	15
握	1
決	564
服	1
用	13
優	11
押	65
書	12
ぁ	1
五	5
最	62
地	28
ォ	50
共	10
ア	764
恥	2
奉	2
着	2
ヘ	102
犯	1
貫	5
負	19
助	6
草	2
に	32727
墨	1
立	237
勘	1
兆	5
比	58
説	1
憤	2
研	2
療	11
淡	1
育	324
登	1
認	663
網	4
先	67
泳	1
顧	29
曲	1
塩	1
互	11
気	34
増	61
彫	4
局	1
勝	11
刻	3
汲	2
屋	1
爽	1
度	21
争	1
託	3
肩	1
待	28
ウ	134
悔	3
何	87
追	36
壊	11
怠	2
突	7
秘	6
求	1597
王	2
ュ	113
扱	42
ケ	169
伏	2
退	5
締	23
触	22
喜	18
再	53
舞	15
攻	5
工	3
沿	24
恩	1
ふ	257
臨	26
浴	1
呼	40
肝	2
拭	3
貸	24
例	41
偏	6
逃	8
専	17
早	56
起	96
遅	13
絡	3
ペ	55
ら	7483
ピ	227
遊	1
西	5
味	4
転	8
損	18
懲	1
即	12
推	7
指	170
預	9
調	9
痛	15
ベ	215
飢	1
乱	2
靂	3
ぬ	31
戒	5
濃	1
襲	6
替	18
割	25
科	5
食	12
必	18
掲	100
夏	1
稼	4
無	10
ャ	180
倒	25
掘	17
移	15
打	57
済	11
キ	172
補	5
な	13144
テ	428
隔	2
よ	5946
ョ	200
漏	18
来	37
頑	28
貧	1
や	3134
疲	10
り	17539
穏	4
七	5
字	3
願	649
勤	1
許	148
否	3
案	2
運	23
称	8
幾	18
抱	74
戻	35
徹	2
逆	1
投	13
処	1
崩	19
総	11
離	18
訳	1
こ	9791
依	34
香	1
ぞ	322
携	19
商	1
変	84
接	6
倣	1
リ	730
騒	1
慶	1
特	170
銘	6
丈	2
狙	23
始	93
励	1
和	1
詰	10
殊	2
振	51
片	1
広	175
精	6
掻	1
電	1
綱	3
潤	4
避	19
定	191
殺	2
ゲ	23
声	3
勢	1
我	216
茶	4
弱	17
賑	5
応	140
誰	1
富	2
論	5
寺	1
絶	14
覚	6
金	20
成	20
底	13
郎	1
削	8
鈍	1
繋	1
激	7
利	4
思	605
歯	7
レ	290
防	15
半	18
つ	6711
鳴	1
震	1
様	5
日	6
ま	26819
察	1
平	15
傾	17
捧	2
守	181
ぼ	61
至	61
担	149
従	19
ご	1179
勇	2
如	2
意	4
ほ	560
期	20
周	1
進	694
は	13563
聞	110
申	1570
親	12
興	3
滴	1
幸	21
線	4
贈	4
中	20
ハ	91
晴	7
充	16
燃	2
降	2
造	4
ポ	308
埋	25
費	1
述	167
駄	5
放	2
ツ	234
歩	28
場	4
域	11
ゅ	5
詠	3
チ	214
怒	14
破	4
噴	1
発	6
家	34
含	264
群	2
サ	382
信	10
宝	2
養	19
め	6677
飼	1
緩	25
安	12
労	5
ニ	221
培	10
と	23436
軌	2
競	1
お	7061
達	17
暮	161
属	12
末	2
初	385
酌	6
誤	11
ミ	198
死	2
言	216
落	23
高	317
里	1
相	29
イ	720
開	138
厳	171
清	1
教	21
帰	12
近	33
故	1
ひ	175
棚	2
働	152
抑	10
告	1
努	251
拡	1
届	42
対	1612
住	55
仕	82
続	474
減	61
去	108
後	75
驚	4
人	16
屈	1
潜	1
有	41
水	1
数	29
講	120
答	17
切	176
装	2
長	59
江	1
れ	9994
建	17
換	2
計	7
ソ	84
ぴ	8
笑	1
ヨ	10
同	103
古	5
感	92
沸	4
x	359326
雇	3
客	5
疑	9
低	42
げ	2138
等	2
毅	4
下	216
在	11
慣	2
値	11
陰	3
縁	1
駆	22
盤	3
野	2
徐	6
ず	1344
外	16
本	70
継	25
荒	2
代	2
越	52
太	1
据	79
花	1
ル	1042
義	25
河	2
甚	7
京	3
諦	4
賜	207
眺	1
傷	5
遭	8
全	237
他	79
免	1
産	16
手	108
ホ	88
施	3
浦	8
ナ	140
迫	21
希	2
形	1
合	237
縮	2
残	98
刺	1
訪	30
備	39
々	9
首	2
向	716
被	1
望	77
て	22622
読	3
え	2527
実	17
じ	856
愛	8
源	1
記	2
納	2
探	3
夜	1
ゾ	21
島	11
滞	8
強	405
焦	1
急	9
報	10
若	32
時	54
架	1
ッ	791
省	24
タ	644
ラ	838
誠	16
エ	330
刈	1
法	2
警	2
格	1
組	1490
以	1
違	52
デ	200
覆	7
耐	1
マ	303
乗	57
ね	189
叫	11
ゼ	53
貴	1
み	1527
ぅ	1
癒	2
学	48
間	103
拒	1
モ	86
止	22
限	90
賃	4
然	39
取	1616
準	3
異	25
妨	7
併	16
が	12938
寄	51
穴	3
南	1
ユ	11
捕	2
セ	368
売	34
戦	9
委	7
詳	6
終	374
送	28
抜	23
ァ	19
控	13
霹	3
関	1187
肉	2
少	86
構	2
羽	3
ヤ	7
静	7
浮	7
狭	4
適	8
著	19
会	36
理	1
積	36
悩	13
加	137
方	207
前	40
玉	1
嫌	1
瞬	1
尊	2
久	2
で	15113
ジ	414
改	159
勧	2
ダ	148
祈	61
諭	1
ざ	814
通	218
寂	4
尽	53
語	15
差	26
閉	19
訴	29
巡	1
常	22
営	14
腰	1
見	658
承	2
固	7
譲	11
も	8624
六	5
血	2
ビ	409
の	46025
撃	3
請	5
丘	2
ヴ	1
小	21
万	3
懐	3
活	10
資	39
区	3
飾	5
そ	2572
道	5
過	55
フ	333
惧	13
泊	2
ん	2146
描	14
便	4
慎	1
誓	4
多	304
更	29
選	13
東	9
又	34
身	5
粛	2
悲	8
冷	9
正	16
使	80
段	2
隠	4
志	2
主	6
回	83
確	32
座	3
す	23390
惜	2
困	3
築	18
乏	8
シ	445
ワ	181
諮	326
堪	2
ょ	125
け	3079
試	8
考	684
恐	4
飛	5
欲	3
封	1
重	106
札	1
流	56
健	13
術	1
設	44
永	3
文	3
褒	1
算	1
散	1
伺	36
く	4074
ゴ	26
栄	1
単	12
置	156
根	14
上	1789
遠	9
ロ	459
風	6
頼	15
滑	1
注	10
拓	1
ェ	161
二	31
敷	1
導	5
闘	13
一	107
分	84
参	1
筋	2
唱	4
卸	1
消	6
出	452
程	6
ボ	62
ィ	160
ゥ	2
べ	1324
温	30
ム	414
自	11
動	64
粘	7
き	6141
技	1
係	260
咲	4
未	4
熱	11
迎	73
第	1
行	1504
苦	38
・	50
失	19
掛	12
む	585
黙	1
裏	8
ド	338
仲	2
生	294
話	44
パ	252
明	108
宗	1
就	1
カ	333
賄	8
軒	3
引	567
宛	19
摘	1
細	44
伴	335
要	116
ば	635
解	2
ガ	101
世	22
弾	2
葬	2
欠	33
配	19
車	1
び	2637
子	500
受	481
奪	29
ど	3594
謹	3
現	8
存	66
ノ	121
わ	2029
略	1
断	20
集	35
ト	1172
練	1
招	29
輝	39
泣	3
課	10
新	389
橋	6
忘	10
皮	2
年	24
占	32
プ	653
付	188
眠	2
廻	2
焼	9
次	1500
吹	4
添	60
台	1
賭	1
ー	3180
盛	97
ぎ	158
ヒ	12
遂	12
位	62
踏	322
真	28
繰	85
囲	4
誇	26
を	22535
極	85
磨	4
忙	4
軽	4
仮	9
オ	208
病	7
剥	1
凝	4
曇	1
た	21570
好	8
載	1
口	5
溶	1
三	20
業	3
得	61
っ	5038
ヌ	3
為	1
ゆ	158
川	1
払	53
張	45
基	288
示	232
背	6
天	4
走	7
素	1
ち	1384
治	3
診	2
既	59
捉	29
図	525
る	20649
呈	2
ス	1538
良	7
悪	7
庁	1
美	6
不	4
し	27496
果	104
借	13
目	205
