219	(1)	9
7214	(2)	5
19397	(3)	5
18571	(4)	5
22518	)議第	5
10867	)～(	6
5497	,00	99
25063	,10	13
14188	,14	5
8725	,20	23
18735	,30	28
16977	,40	13
29695	,50	24
6032	,60	12
14280	,70	13
25437	,80	21
23018	,90	16
25189	---	12
30656	.27	10
8474	.2％	9
2242	.3％	11
1286	.5％	14
25260	.6％	7
20077	.7％	9
3113	.8％	10
17135	.9％	8
31488	/pr	7
27241	0.7	5
31407	000	123
25227	008	6
21180	00万	123
2724	00人	32
31384	00余	30
9185	00億	22
13474	00円	60
20204	00分	5
31148	00号	8
30465	00名	5
16774	00年	10
27762	010	7
14909	011	7
13235	012	6
2601	013	10
24701	014	14
19627	015	20
23098	016	6
28489	019	6
33002	020	14
16180	025	13
21856	02号	9
5942	03号	14
18533	04号	5
28594	05億	6
17633	086	6
30074	08号	6
4941	08年	6
10109	09条	26
19542	0キロ	23
8690	0トン	6
11533	0メー	5
29978	0万人	19
33061	0万円	123
15334	0人、	5
26900	0人に	5
18711	0人の	9
18419	0人を	9
2002	0人以	5
11277	0人学	6
10916	0件に	9
22154	0余万	30
30215	0億円	49
7967	0兆円	6
10646	0円、	11
22403	0円で	8
31049	0円と	6
31854	0円に	5
3533	0円の	16
1785	0円を	13
25918	0分の	6
10988	0号、	34
1229	0号「	16
33820	0号お	6
23953	0号か	10
1601	0号の	12
18446	0号は	9
1363	0号ま	16
5801	0号を	5
4911	0号及	10
14473	0号平	26
6270	0号教	5
30283	0号滋	5
29524	0号発	7
13194	0号議	110
32969	0年、	7
17805	0年と	6
10379	0年に	17
26222	0年の	24
2696	0年代	8
10405	0年以	10
10205	0年度	12
14467	0年東	7
30280	0年間	16
14396	0日、	8
30683	0日に	15
28684	0時間	7
15607	0条第	8
20924	0番１	15
34678	0％の	5
17966	0％を	5
23087	1,0	23
23080	1,2	10
13911	1,3	9
4668	1,4	7
19089	1,5	10
32128	1,6	6
4823	1,8	8
2913	1.5	5
24793	1.6	5
28617	10.	5
6813	100	51
3616	101	7
27700	102	12
29079	103	16
11268	104	11
21877	105	6
26335	107	6
7683	108	5
22777	109	30
15866	10万	8
4860	10億	7
29905	10分	5
12791	10号	46
20732	10年	25
856	10日	34
6546	10時	8
28243	10月	23
10440	10款	6
11145	10番	29
20031	10％	6
19142	110	8
199	111	7
20990	117	6
2830	118	8
21832	11件	10
34160	11号	57
18256	11回	5
29059	11年	10
17794	11日	7
9881	11時	9
11042	11月	26
13443	11款	5
9363	11災	5
12892	11番	17
375	11議	5
33920	120	8
8610	122	5
7531	12万	10
2256	12人	8
34553	12号	41
21279	12年	15
29950	12日	22
8440	12月	42
6197	12款	9
16604	12番	10
14273	131	9
19797	137	8
26461	138	23
24620	139	14
28310	13件	5
8778	13億	5
7497	13号	57
20271	13年	14
31778	13日	34
3975	13款	8
33495	13番	9
21742	140	16
33586	141	11
25433	142	12
2209	143	13
32483	144	7
6301	145	11
30824	146	9
8123	147	7
30618	149	6
13174	14件	18
24096	14号	44
11388	14年	20
3088	14条	47
3239	14番	11
16279	150	7
28597	151	5
7987	15件	6
31664	15億	5
15058	15号	36
15930	15年	30
1610	15番	14
31876	160	6
20863	16件	10
7551	16号	41
7832	16年	14
26076	16日	67
638	16条	8
3118	16番	9
10712	17件	9
24024	17号	40
20243	17日	14
32861	17番	10
4002	180	5
32684	182	10
17468	183	6
31079	184	6
8872	18件	5
21102	18億	10
29371	18号	49
12987	18日	7
16991	18番	10
15896	191	7
14207	196	8
18376	199	17
13437	19の	5
5720	19億	5
12084	19号	60
17921	19年	9
12026	19日	28
16291	19番	8
25470	1億円	5
25146	1号、	39
1674	1号「	11
5271	1号か	20
30865	1号な	8
7884	1号に	11
9726	1号の	7
1199	1号は	9
11910	1号ま	18
9177	1号を	11
24366	1号及	12
19	1号市	5
9672	1号平	18
19939	1号発	7
11355	1号議	108
8830	1号）	5
7461	1年度	11
3922	1日に	5
15951	1日ま	6
1554	1月に	7
20208	1月定	5
29281	1条の	8
25297	1災害	5
8419	2,0	19
29364	2,1	8
19392	2,5	7
31327	2,8	6
31872	2.2	11
19211	2.5	10
6631	200	46
881	201	73
22984	202	28
10054	208	8
19003	20万	6
7192	20人	5
34068	20件	5
32621	20億	12
17950	20号	53
17376	20年	43
28093	20日	10
5930	20番	11
2168	20％	7
24727	21件	9
33093	21号	41
2737	21年	6
24813	21番	13
29098	22号	49
24336	22年	14
3734	22番	8
11568	23号	57
31487	23年	46
27811	23日	34
20730	23条	6
23632	23番	8
30271	24号	38
26143	24年	43
28920	24番	11
33670	250	7
114	252	5
11387	25号	42
23790	25年	82
16422	25日	5
719	25番	5
5725	25％	6
10099	26号	47
22080	26回	7
32807	26年	315
30996	26日	23
34381	26番	11
7414	27・	12
16697	27号	42
9801	27年	730
16813	27日	31
24149	27条	10
7614	27番	14
9343	27％	10
10	28号	40
10201	28年	30
11991	28番	10
29844	29号	36
24285	29年	14
24961	29番	9
5421	2万人	9
14479	2万円	5
17324	2億円	12
10906	2号、	32
29964	2号「	6
18416	2号か	8
34075	2号は	10
20595	2号ま	11
5232	2号を	6
23172	2号及	12
33014	2号平	12
31255	2号発	7
25304	2号議	123
22305	2年の	8
31965	2年度	6
1623	2年間	8
29890	2日、	7
11818	2日に	7
8793	2時間	6
1569	2月2	8
6870	2月に	14
27567	2条の	8
27540	2款教	7
18190	2番欠	5
6627	2％の	6
9202	3,0	15
1282	3,3	6
26802	300	46
15353	30キ	15
27675	30人	8
31481	30分	5
7482	30号	40
14066	30年	21
4968	30番	8
23379	31号	49
4247	31年	13
16118	31日	13
17363	31番	8
26132	320	5
7417	326	5
7766	32号	36
32012	32年	10
16510	32番	9
277	330	5
7918	334	5
20450	33号	42
15303	33番	12
15702	341	9
10903	343	5
14498	344	7
32663	345	5
15417	346	6
26172	34号	44
18261	34番	8
27812	350	8
5676	352	8
6495	353	7
2337	357	7
21438	358	6
14014	359	7
1734	35人	14
95	35号	43
1151	35番	9
32891	36号	40
27206	36番	8
21080	37号	56
17979	37番	12
32701	385	5
18800	38号	58
22515	38条	6
18163	38番	8
8554	39号	46
33567	39条	5
13163	39番	10
19302	3億5	6
6942	3号、	35
27014	3号「	15
6571	3号か	18
27145	3号に	11
14884	3号の	6
6923	3号は	15
13299	3号ま	18
15015	3号を	12
33107	3号平	13
15842	3号発	7
25289	3号議	122
7716	3年1	5
9816	3年の	6
5595	3年度	7
5833	3年第	5
1085	3年３	9
5169	3年４	8
27249	3日、	6
29221	3日提	7
23579	3日（	5
16489	3月1	50
26654	3月9	9
8018	3条第	9
4763	3款災	6
3823	3％の	6
32996	4,0	14
32270	400	29
10594	40万	8
23944	40億	9
876	40号	53
9719	40年	5
6656	40条	5
4991	40番	7
12640	41号	60
12728	41番	7
24471	420	7
21099	42億	5
9853	42号	43
19817	42番	8
31144	43号	59
8093	43番	9
10729	44号	52
21333	44番	7
33371	45号	64
32444	45時	5
33897	45番	8
10454	46号	51
5027	46番	8
14055	47件	5
31905	47号	48
5826	47番	7
18191	48号	37
8198	48番	10
267	49万	8
393	49号	40
5308	49番	5
6135	4件に	8
3183	4件は	5
4956	4億円	12
14221	4号、	29
18379	4号「	10
31510	4号か	18
26009	4号に	11
22459	4号は	11
13186	4号ま	19
24767	4号を	5
12813	4号及	11
10605	4号平	7
15884	4号発	7
22043	4号議	110
27236	4年1	5
14746	4年に	11
20041	4年の	7
32070	4年度	15
27301	4年第	7
6449	4条の	17
12924	4条第	38
22631	5,0	15
2324	5,2	7
8937	5,3	5
34373	500	40
6313	50号	40
2345	50年	6
15851	50番	5
16730	51号	43
4562	51番	5
26362	52号	41
5814	52番	5
14298	53号	47
13386	54件	7
7828	54号	46
20215	55号	40
11295	56号	40
27770	56条	6
